사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,강원도,양구군," 1,227 "," 1,222 ",100.41%," 1,163 ",105.50%,
 업종전체,강원도,인제군," 2,127 "," 2,121 ",100.28%," 2,065 ",103.00%,
 업종전체,강원도,고성군," 1,670 "," 1,671 ",99.94%," 1,623 ",102.90%,
 업종전체,강원도,양양군," 2,102 "," 2,108 ",99.72%," 2,056 ",102.24%,
 업종전체,대전광역시,합계," 70,759 "," 70,411 ",100.49%," 68,058 ",103.97%,
 업종전체,대전광역시,중구," 12,388 "," 12,352 ",100.29%," 12,048 ",102.82%,
 업종전체,대전광역시,동구," 10,401 "," 10,353 ",100.46%," 10,070 ",103.29%,
 업종전체,대전광역시,서구," 23,538 "," 23,385 ",100.65%," 22,624 ",104.04%,
 업종전체,대전광역시,유성구," 16,211 "," 16,112 ",100.61%," 15,205 ",106.62%,
 업종전체,대전광역시,대덕구," 8,221 "," 8,209 ",100.15%," 8,111 ",101.36%,
 업종전체,충청북도,합계," 77,237 "," 77,071 ",100.22%," 74,437 ",103.76%,
 업종전체,충청북도,청주시 상당구," 8,935 "," 8,895 ",100.45%," 8,607 ",103.81%,
 업종전체,충청북도,청주시 서원구," 9,114 "," 9,085 ",100.32%," 8,867 ",102.79%,
 업종전체,충청북도,청주시 흥덕구," 12,284 "," 12,214 ",100.57%," 11,602 ",105.88%,
 업종전체,충청북도,청주시 청원구," 8,777 "," 8,756 ",100.24%," 8,360 ",104.99%,
 업종전체,충청북도,충주시," 10,717 "," 10,688 ",100.27%," 10,362 ",103.43%,
 업종전체,충청북도,제천시," 7,444 "," 7,451 ",99.91%," 7,320 ",101.69%,
 업종전체,충청북도,보은군," 1,579 "," 1,583 ",99.75%," 1,588 ",99.43%,
 업종전체,충청북도,옥천군," 2,169 "," 2,163 ",100.28%," 2,119 ",102.36%,
 업종전체,충청북도,영동군," 2,198 "," 2,213 ",99.32%," 2,181 ",100.78%,
 업종전체,충청북도,증평군," 1,850 "," 1,859 ",99.52%," 1,760 ",105.11%,
 업종전체,충청북도,진천군," 3,781 "," 3,774 ",100.19%," 3,528 ",107.17%,
 업종전체,충청북도,괴산군," 1,737 "," 1,740 ",99.83%," 1,718 ",101.11%,
 업종전체,충청북도,음성군," 4,899 "," 4,895 ",100.08%," 4,714 ",103.92%,
 업종전체,충청북도,단양군," 1,753 "," 1,755 ",99.89%," 1,711 ",102.45%,
 업종전체,충청남도,합계," 101,352 "," 101,074 ",100.28%," 97,776 ",103.66%,
 업종전체,충청남도,천안시 동남구," 12,636 "," 12,601 ",100.28%," 12,000 ",105.30%,
 업종전체,충청남도,천안시 서북구," 17,818 "," 17,695 ",100.70%," 16,759 ",106.32%,
 업종전체,충청남도,공주시," 5,436 "," 5,424 ",100.22%," 5,364 ",101.34%,
 업종전체,충청남도,보령시," 5,607 "," 5,606 ",100.02%," 5,529 ",101.41%,
 업종전체,충청남도,아산시," 13,297 "," 13,221 ",100.57%," 12,656 ",105.06%,
 업종전체,충청남도,서산시," 8,421 "," 8,402 ",100.23%," 8,129 ",103.59%,
 업종전체,충청남도,논산시," 5,897 "," 5,899 ",99.97%," 5,778 ",102.06%,
 업종전체,충청남도,계룡시," 1,497 "," 1,491 ",100.40%," 1,466 ",102.11%,
 업종전체,충청남도,당진시," 7,830 "," 7,843 ",99.83%," 7,568 ",103.46%,
 업종전체,충청남도,금산군," 3,197 "," 3,192 ",100.16%," 3,118 ",102.53%,
 업종전체,충청남도,부여군," 2,747 "," 2,748 ",99.96%," 2,707 ",101.48%,
 업종전체,충청남도,서천군," 2,486 "," 2,486 ",100.00%," 2,447 ",101.59%,
 업종전체,충청남도,청양군," 1,307 "," 1,313 ",99.54%," 1,293 ",101.08%,
 업종전체,충청남도,홍성군," 4,836 "," 4,826 ",100.21%," 4,730 ",102.24%,
 업종전체,충청남도,예산군," 3,918 "," 3,911 ",100.18%," 3,901 ",100.44%,
 업종전체,충청남도,태안군," 4,422 "," 4,416 ",100.14%," 4,331 ",102.10%,
 업종전체,세종특별자치시,합계," 12,889 "," 12,722 ",101.31%," 11,327 ",113.79%,
 업종전체,세종특별자치시,세종시," 12,889 "," 12,722 ",101.31%," 11,327 ",113.79%,
 업종전체,광주광역시,합계," 70,997 "," 70,813 ",100.26%," 68,019 ",104.38%,
 업종전체,광주광역시,동구," 8,367 "," 8,360 ",100.08%," 8,245 ",101.48%,
 업종전체,광주광역시,남구," 8,931 "," 8,903 ",100.31%," 8,427 ",105.98%,
 업종전체,광주광역시,서구," 16,607 "," 16,533 ",100.45%," 15,863 ",104.69%,
 업종전체,광주광역시,북구," 19,483 "," 19,416 ",100.35%," 18,834 ",103.45%,
 업종전체,광주광역시,광산구," 17,609 "," 17,601 ",100.05%," 16,650 ",105.76%,
 업종전체,전라북도,합계," 85,075 "," 84,827 ",100.29%," 82,528 ",103.09%,
 업종전체,전라북도,전주시 완산구," 18,786 "," 18,697 ",100.48%," 18,259 ",102.89%,
 업종전체,전라북도,전주시 덕진구," 14,211 "," 14,124 ",100.62%," 13,434 ",105.78%,
 업종전체,전라북도,군산시," 13,259 "," 13,251 ",100.06%," 12,949 ",102.39%,
 업종전체,전라북도,익산시," 12,656 "," 12,601 ",100.44%," 12,375 ",102.27%,
 업종전체,전라북도,정읍시," 4,793 "," 4,802 ",99.81%," 4,723 ",101.48%,
 업종전체,전라북도,남원시," 4,066 "," 4,060 ",100.15%," 3,996 ",101.75%,
 업종전체,전라북도,김제시," 3,214 "," 3,222 ",99.75%," 3,123 ",102.91%,
 업종전체,전라북도,완주군," 3,868 "," 3,865 ",100.08%," 3,675 ",105.25%,
 업종전체,전라북도,진안군, 991 , 987 ,100.41%, 980 ,101.12%,
 업종전체,전라북도,무주군," 1,337 "," 1,340 ",99.78%," 1,334 ",100.22%,
 업종전체,전라북도,장수군, 828 , 820 ,100.98%, 824 ,100.49%,
 업종전체,전라북도,임실군," 1,053 "," 1,057 ",99.62%," 1,033 ",101.94%,
 업종전체,전라북도,순창군," 1,031 "," 1,031 ",100.00%," 1,009 ",102.18%,
 업종전체,전라북도,고창군," 2,281 "," 2,274 ",100.31%," 2,181 ",104.59%,
 업종전체,전라북도,부안군," 2,701 "," 2,696 ",100.19%," 2,633 ",102.58%,
 업종전체,전라남도,합계," 85,418 "," 85,346 ",100.08%," 83,052 ",102.85%,
 업종전체,전라남도,목포시," 12,523 "," 12,515 ",100.06%," 12,306 ",101.76%,
 업종전체,전라남도,여수시," 14,557 "," 14,557 ",100.00%," 14,224 ",102.34%,
 업종전체,전라남도,순천시," 13,559 "," 13,523 ",100.27%," 13,094 ",103.55%,
 업종전체,전라남도,나주시," 4,707 "," 4,694 ",100.28%," 4,512 ",104.32%,
 업종전체,전라남도,광양시," 6,807 "," 6,822 ",99.78%," 6,729 ",101.16%,
 업종전체,전라남도,담양군," 1,902 "," 1,900 ",100.11%," 1,793 ",106.08%,
 업종전체,전라남도,곡성군," 1,028 "," 1,023 ",100.49%," 1,000 ",102.80%,
 업종전체,전라남도,구례군," 1,226 "," 1,230 ",99.67%," 1,196 ",102.51%,
 업종전체,전라남도,고흥군," 2,520 "," 2,523 ",99.88%," 2,505 ",100.60%,
 업종전체,전라남도,보성군," 1,854 "," 1,861 ",99.62%," 1,830 ",101.31%,
 업종전체,전라남도,화순군," 2,422 "," 2,419 ",100.12%," 2,363 ",102.50%,
 업종전체,전라남도,장흥군," 1,700 "," 1,697 ",100.18%," 1,665 ",102.10%,
 업종전체,전라남도,강진군," 1,556 "," 1,557 ",99.94%," 1,493 ",104.22%,
 업종전체,전라남도,해남군," 3,003 "," 3,005 ",99.93%," 2,933 ",102.39%,
 업종전체,전라남도,영암군," 2,093 "," 2,098 ",99.76%," 2,070 ",101.11%,
 업종전체,전라남도,무안군," 3,657 "," 3,650 ",100.19%," 3,499 ",104.52%,
 업종전체,전라남도,함평군," 1,050 "," 1,044 ",100.57%," 1,019 ",103.04%,
 업종전체,전라남도,영광군," 2,413 "," 2,401 ",100.50%," 2,309 ",104.50%,
 업종전체,전라남도,장성군," 1,631 "," 1,623 ",100.49%," 1,566 ",104.15%,
 업종전체,전라남도,완도군," 2,575 "," 2,577 ",99.92%," 2,450 ",105.10%,
 업종전체,전라남도,진도군," 1,405 "," 1,400 ",100.36%," 1,336 ",105.16%,
 업종전체,전라남도,신안군," 1,230 "," 1,227 ",100.24%," 1,160 ",106.03%,
 업종전체,대구광역시,합계," 115,230 "," 114,962 ",100.23%," 110,931 ",103.88%,
 업종전체,대구광역시,중구," 11,879 "," 11,848 ",100.26%," 11,699 ",101.54%,
 업종전체,대구광역시,동구," 15,138 "," 15,121 ",100.11%," 14,619 ",103.55%,
 업종전체,대구광역시,남구," 8,082 "," 8,069 ",100.16%," 7,870 ",102.69%,
 업종전체,대구광역시,서구," 8,310 "," 8,304 ",100.07%," 8,344 ",99.59%,
 업종전체,대구광역시,북구," 18,377 "," 18,359 ",100.10%," 17,564 ",104.63%,
 업종전체,대구광역시,수성구," 20,047 "," 19,960 ",100.44%," 19,106 ",104.93%,
 업종전체,대구광역시,달서구," 23,816 "," 23,777 ",100.16%," 22,823 ",104.35%,
 업종전체,대구광역시,달성군," 9,581 "," 9,524 ",100.60%," 8,906 ",107.58%,
 업종전체,경상북도,합계," 129,486 "," 129,234 ",100.19%," 125,724 ",102.99%,
 업종전체,경상북도,포항시 남구," 11,733 "," 11,732 ",100.01%," 11,341 ",103.46%,
 업종전체,경상북도,포항시 북구," 13,581 "," 13,549 ",100.24%," 13,018 ",104.32%,
 업종전체,경상북도,경주시," 14,268 "," 14,206 ",100.44%," 13,833 ",103.14%,
 업종전체,경상북도,김천시," 6,169 "," 6,137 ",100.52%," 6,028 ",102.34%,
 업종전체,경상북도,안동시," 8,037 "," 8,031 ",100.07%," 7,958 ",100.99%,
 업종전체,경상북도,구미시," 19,594 "," 19,512 ",100.42%," 18,988 ",103.19%,
 업종전체,경상북도,영주시," 5,844 "," 5,842 ",100.03%," 5,757 ",101.51%,
 업종전체,경상북도,영천시," 4,343 "," 4,348 ",99.89%," 4,271 ",101.69%,
 업종전체,경상북도,상주시," 4,311 "," 4,309 ",100.05%," 4,303 ",100.19%,
 업종전체,경상북도,문경시," 3,798 "," 3,805 ",99.82%," 3,725 ",101.96%,
 업종전체,경상북도,경산시," 12,128 "," 12,068 ",100.50%," 11,567 ",104.85%,
 업종전체,경상북도,군위군, 882 , 882 ,100.00%, 829 ,106.39%,
 업종전체,경상북도,의성군," 2,021 "," 2,031 ",99.51%," 1,988 ",101.66%,
 업종전체,경상북도,청송군," 1,429 "," 1,426 ",100.21%," 1,415 ",100.99%,
 업종전체,경상북도,영양군, 703 , 704 ,99.86%, 731 ,96.17%,
 업종전체,경상북도,영덕군," 2,519 "," 2,531 ",99.53%," 2,448 ",102.90%,
 업종전체,경상북도,청도군," 2,046 "," 2,046 ",100.00%," 1,945 ",105.19%,
 업종전체,경상북도,고령군," 1,331 "," 1,332 ",99.92%," 1,283 ",103.74%,
 업종전체,경상북도,성주군," 1,947 "," 1,952 ",99.74%," 1,899 ",102.53%,
 업종전체,경상북도,칠곡군," 5,607 "," 5,575 ",100.57%," 5,429 ",103.28%,
 업종전체,경상북도,예천군," 2,226 "," 2,229 ",99.87%," 2,095 ",106.25%,
 업종전체,경상북도,봉화군," 1,361 "," 1,368 ",99.49%," 1,362 ",99.93%,
 업종전체,경상북도,울진군," 2,886 "," 2,897 ",99.62%," 2,823 ",102.23%,
