year,month,city,corp,0
2019,1,광주광역시,컴퓨터판매점,191
2019,1,광주광역시,통신판매업,5116
2019,1,광주광역시,패스트푸드점,1002
2019,1,광주광역시,펜션ㆍ게스트하우스,14
2019,1,광주광역시,편의점,1010
2019,1,광주광역시,피부ㆍ비뇨기과 의원,126
2019,1,광주광역시,피부관리업,1406
2019,1,광주광역시,피시방,426
2019,1,광주광역시,한방병원ㆍ한의원,416
2019,1,광주광역시,한식전문점,9558
2019,1,광주광역시,헬스클럽,216
2019,1,광주광역시,호프전문점,2406
2019,1,광주광역시,화장품가게,1118
2019,1,광주광역시,휴대폰가게,588
2019,1,대구광역시,B. 업종전체,110847
2019,1,대구광역시,가구점,371
2019,1,대구광역시,가스충전소,44
2019,1,대구광역시,가전제품수리점,653
2019,1,대구광역시,가전제품판매점,518
2019,1,대구광역시,간이주점,310
2019,1,대구광역시,간판광고물업,777
2019,1,대구광역시,감정평가사,55
2019,1,대구광역시,건강보조식품가게,590
2019,1,대구광역시,건어물가게,162
2019,1,대구광역시,건축사,675
2019,1,대구광역시,결혼상담소,107
2019,1,대구광역시,곡물가게,193
2019,1,대구광역시,공부방,2336
2019,1,대구광역시,공인노무사,32
2019,1,대구광역시,공인회계사,89
2019,1,대구광역시,과일가게,364
2019,1,대구광역시,교습학원,2610
2019,1,대구광역시,구내식당,949
2019,1,대구광역시,기술및직업훈련학원,702
2019,1,대구광역시,기술사,32
2019,1,대구광역시,기타 일반의원,153
2019,1,대구광역시,기타외국식전문점,1196
2019,1,대구광역시,기타음식점,1273
2019,1,대구광역시,꽃가게,1040
2019,1,대구광역시,내과ㆍ소아과 의원,565
2019,1,대구광역시,노래방,1788
2019,1,대구광역시,담배가게,566
2019,1,대구광역시,당구장,657
2019,1,대구광역시,독서실,395
2019,1,대구광역시,동물병원,165
2019,1,대구광역시,목욕탕,283
2019,1,대구광역시,문구점,352
2019,1,대구광역시,미용실,5252
2019,1,대구광역시,법무사,291
2019,1,대구광역시,변리사,23
2019,1,대구광역시,변호사,264
2019,1,대구광역시,부동산중개업,5525
2019,1,대구광역시,분식점,2310
2019,1,대구광역시,사진촬영업,618
2019,1,대구광역시,산부인과 의원,103
2019,1,대구광역시,생선가게,209
2019,1,대구광역시,서점,516
2019,1,대구광역시,성형외과 의원,76
2019,1,대구광역시,세무사,540
2019,1,대구광역시,세탁소,815
2019,1,대구광역시,슈퍼마켓,1766
2019,1,대구광역시,스포츠교육기관,1206
2019,1,대구광역시,스포츠시설운영업,242
2019,1,대구광역시,스포츠용품점,700
2019,1,대구광역시,시계ㆍ귀금속점,547
2019,1,대구광역시,식료품가게,1707
2019,1,대구광역시,신경정신과 의원,103
2019,1,대구광역시,신발가게,338
2019,1,대구광역시,실내스크린골프점,273
2019,1,대구광역시,실내장식가게,2384
2019,1,대구광역시,실외골프연습장,103
2019,1,대구광역시,안경점,489
2019,1,대구광역시,안과 의원,101
2019,1,대구광역시,애완용품점,351
2019,1,대구광역시,약국,1259
2019,1,대구광역시,여관ㆍ모텔,748
2019,1,대구광역시,여행사,527
